"pestcode","pestdesc"
"FAUVD  ","MINIMISE ULTRA VIOLET DEGRADATION"
"FCTR   ","PREVENTION OF TREE ROOT REGROWTH"
"FGD    ","PRE-CONDITIONING PRIOR TO DEFOLIATION"
"FGDS   ","DETERGENT SANITISER"
"FGHC   ","HYDRANGEAS - INTENSIFIES COLOUR"
"FHYP   ","HYPERTENSION"
"FSY    ","INCREASE SEED YIELD"
"FVAT   ","ANTIBIOTIC THERAPY"
"FVFLU  ","LUTEOLYSIS - INDUCTION"
"FVI    ","AID IN COMBATING INFECTION"
"FVNS   ","NON STEROIDAL"
"FVPP   ","IMPROVE THE UTILIZATION OF PLANT PHOSPHO"
"I      ","INTERNAL PARASITE"
"ICB    ","CARPOPHILUS BEETLE"
"IDML   ","FUNGUS GNAT LARVAE - SUPRESSION"
"IEL    ","EARWIG - ADULT & LARVAL"
"IFL    ","LIVER FLUKE"
"IHTP   ","THAUMASTOCORIS BUG"
"ILNMC2 ","COMMON ARMYWORM"
"ILNPE  ","SOUTHERN OR BARLEY ARMYWORM"
"ILNSM  ","LAWN ARMYWORM"
"IMSM   ","SALTMARSH MOSQUITO-OCHLEROTATUS VIGILAX"
"IWB    ","RINGWORM"
"IWCA   ","CAECAL WORM - HETERALSIS SPP."
"IWGS   ","SMALL STRONGYLES - GYALOCEPHALUS SPP."
"IWK    ","KIDNEY WORM"
"IWL4   ","PROTOSTRONGYLUS RUFESCENS"
"IWLE   ","LUNGWORM - EGGS"
"IWLL   ","LARGE LUNGWORM - DICTYOCAULUS FILARIA"
"IWO2   ","OSTERTAGIA SPP. - LARVAE"
"IWOC   ","OSTERTAGIA CIRCUMCINCTA"
"IWR3   ","ROUNDWORM - TOXASCARIS LEONINA"
"IWR6   ","HYOSTRONGYLUS RUBIDUS"
"IWR8   ","ROUNDWORM - ASCARIDIA SPP."
"IWRBS1 ","BLACK SCOUR WORM - TRICHOSTRONGYLUS SPP."
"IWRC2  ","SMALL STRONGYLE-LUMEN DWELLING IMMATURE"
"IWRHW3 ","HOOKWORM - ANCYLOSTOMA SPP."
"IWRI   ","INTESTINAL THREADWORM - S. PAPILLOSUS"
"IWRLB  ","LARGE BOWEL WORM - O. VENULOSUM"
"IWRLM2 ","LARGE MOUTHED BOWEL WORM (ADULTS)"
"IWRN3  ","OESOPHAGOSTOMUM SPP. - ADULT"
"IWRN4  ","NODULE WORM - OESOPHAGOSTOMUN DENTATUM"
"IWROE  ","PINWORM - OXYURIS EQUI"
"IWRPE  ","LARGE ROUNDWORM - PARASCARIS EQUORUM"
"IWRSH  ","STOMACH HAIR WORM"
"IWT10  ","TAPEWORM - DIPYLIDIUM CANINUM"
"IWT3   ","TAPEWORM"
"IWW1   ","WHIPWORM - TRICHURIS SPP."
"MNCY   ","CYANOBACTERIA"
"OCHNA  ","OCHNA SERRULATE"
"PEFL   ","FISH LICE"
"PEGF   ","GILL FLUKE"
"PEO    ","PERI-OPERATIVE"
"REWS   ","WATER SCALE"
"UAM    ","MOUSE - MUS SPP."
"UARO   ","RODENT, RAT OR MOUSE"
"UART   ","RAT"
"UAW2   ","TASMANIAN PADEMELONS"
"UAWA   ","AGILE WALLABY"
"UCE    ","CENTIPEDE"
"UGSC   ","STORED GRAIN INSECT PESTS - SEE LABEL"
"UGSC3  ","STORED GRAIN INSECT PESTS - INCLUSIONS"
"UMIB   ","STORED PRODUCT MITE"
"UMIE1  ","MITE - EGG"
"UMIFS  ","MITES - MITE FLARE SUPPRESSION"
"UMIMC  ","CATTLE SCABIES MITE"
"UMIP   ","PASSIONVINE MITE"
"UMIRE  ","EUROPEAN RED MITE"
"UMIRP  ","POULTRY RED MITE"
"UMIS   ","SPIDER MITE"
"UMIU   ","RUST MITE"
"UMIVV  ","VINE BUD MITE"
"UMSM   ","SCALY LEG MANGE"
"UNEB   ","BEET NEMATODE"
"UNECC  ","CEREAL CYST NEMATODE"
"UNEK   ","ROOT KNOT NEMATODE"
"USLG   ","GREY FIELD SLUG"
"USNWI  ","WHITE ITALIAN SNAIL"
"UVERP  ","POSSUM"
"UZRBE  ","EUROPEAN RABBIT"
"VAC    ","ALLERGIC CONJUNCTIVITIS"
"VADM   ","ALLERGIC DERMATITIS"
"VBBV   ","BOVINE VENEREAL CAMPYLOBACTERIOSIS (BVC)"
"VBGCC  ","CLOSTRIDIUM SPP."
"VBGMX1 ","PINK-EYE"
"VBGS4  ","STREPTOCOCCUS UBERIS"
"VBGSS1 ","STAPHYLOCOCCUS INTERMEDIUS"
"VBGX3  ","COCCIDIOSIS - SEE LABEL FOR CAUSES"
"VBLS   ","LEPTOSPIROSIS"
"VBMP   ","MYCOPLASMA SPP."
"VDBA   ","BACTERIAL SKIN DISEASE"
"VDBS   ","INFECTIOUS SINUSITIS"
"VDBY   ","MYCOPLASMOSIS"
"VDHC   ","HYPOCHLORAEMIA"
"VDMYP  ","MYCOPLASMAL PNEUMONIA"
"VDOE   ","OTITIS EXTERNA"
"VDST   ","STRANGLES"
"VDTF   ","TICK FEVER"
"VEAB   ","ACID BASE DISORDERS"
"VFBI   ","BIOTIN DEFICIENCY"
"VFD    ","FUNGAL OVERGROWTH (DERMATOPHYTES)"
"VFOV   ","INCREASE OVULATION RATE"
"VG1    ","EXCLUSION AND SUPPRESSION OF PATHOGENS"
"VG4    ","ORGANISMS SENSITIVE TO CLOXACILLIN"
"VG6    ","ACIDOSIS"
"VG9    ","HYPERTROPHIC CARDIOMYOPATHY"
"VGA    ","ANTIPROSTAGLANDIN"
"VGAPA  ","ANTIPARASITIC"
"VGBE   ","BEHAVIOURAL DISORDER - AGE RELATED"
"VGCD   ","ANIMAL - DEBILITATED CONDITION"
"VGDO   ","DELAYED OVULATION"
"VGDP2  ","PATNAIK GRADE II OR III RECURRENT"
"VGGU   ","GASTRIC ULCERS"
"VGH    ","HAEMORRHAGE"
"VGHM   ","HORMONAL MANIPULATION"
"VGIE   ","INTRACELLULAR ENERGY PRODUCTION"
"VGIL   ","ILEITIS"
"VGIU   ","INTRA UTERINE THERAPY"
"VGL    ","LONGEVITY"
"VGMR   ","MAINTENANCE OF REPRODUCTIVE FUNCTION"
"VGOE2  ","SYNCHRONISATION OF OESTRUS & OVULATION"
"!50572 ","REFER TO SIPCAM GLYPHOSATE 450 LABEL"
"**012K ","SPOTTED VEGETABLE WEEVIL"
"**PTG  ","PROSTAGLANDIN"
"ANNONA ","POND APPLE"
"AVM7.2.","Emetics, antiemetics"
"BARSW  ","BARN SWALLOW"
"BMG    ","MYCOPLASMA GRANULARUM"
"BMPR   ","PREVOTELLA SPP"
"FA2    ","PENETRATING SURFACTANT"
"FAAP   ","CONTROL ADHESION OF MUSHROOM MYCELIUM"
"FACS   ","COTTON SPINDLE CLEANING"
"FAFC   ","EARLY COLOUR DEVELOPMENT"
"FAGM   ","MARINE GROWTH"
"FAPH   ","ENCLOSED AREA - POST-HARVEST APPLICATION"
"FARR   ","REDUCE WEATHER INDUCED RUSSET"
"FGLPH  ","LOWERS PH"
"FVBR   ","BRANDING"
"FVBRH  ","REDUCE HYPEREXCITABILITY"
"FVCO   ","COAT CONDITIONER"
"FVGH   ","HOOF GROWTH PROMOTANT"
"FVMP   ","MAINTENANCE OF PERFORMANCE"
"FVSE   ","SEDATIVE"
"IDM    ","FUNGUS GNAT"
"IIRM   ","SUBTERRANEAN TERMITE INCL. M.DARWINIENSI"
"ILFL   ","FEATHER LICE"
"ILNL   ","ARMYWORM - LEUCANIA SPP."
"ILNP   ","ARMYWORM - PERSECTANIA SPP."
"INZT   ","NEW ZEALAND FLOWER THRIP"
"ISLTO  ","SOYBEAN LOOPER"
"ITS1   ","THRIPS SIMPLEX"
"IWBL   ","WOODBORER"
"IWCYS  ","SMALL STRONGYLES - CYLICOCYCLUS SPP."
"IWL3   ","LUNGWORM - METASTRONGYLUS SPP."
"IWL5   ","LUNGWORM - DICTYOCAULUS SPP."
"IWNB   ","NEMATODIRUS BATTUS"
"IWO1   ","OSTERTAGIA SPP. - ADULT"
"IWR11  ","ROUNDWORM - ASCARIS SPP."
"IWRAC  ","ROUNDWORM - ASCARIDIA COLUMBAE"
"IWRD   ","DRASCHIA SPP."
"IWRHW7 ","HOOKWORM - UNCINARIA SPP."
"IWRI3  ","THREADWORM"
"IWRL1  ","LARGE BOWEL WORM - O. RADIATUM"
"IWRLMB ","LARGE MOUTHED BOWEL WORM"
"IWROS  ","LARGE BOWEL WORM - OESOPHAGOSTOMUM SPP."
"IWRS   ","LARGE STRONGYLES - STRONGYLUS SPP."
"IWRS1  ","LARGE STRONGYLES"
"IWRSA  ","SPICULOPTERAGIA ASYMMETRICA"
"IWRSB1 ","SMALL BROWN STOMACH WORM - O. OSTERTAGI"
"IWRSB3 ","BROWN STOMACH WORM (ADULT) - O. LYRATA"
"IWRSH1 ","STOMACH HAIR WORM - T. AXEI"
"IWRTNI ","THIN NECKED INTESTINAL WORM"
"IWSV   ","LARGE STRONGYLES - STRONGYLUS VULGARIS"
"IWTO   ","WHIPWORM - TRICHURIS OVIS"
"LYPA   ","PARASITIC ALGAE ON LYCHEE"
"MTFCG  ","CRAB GRASS - PRE EMERGENT"
"NAVSE  ","NAVUA SEDGE"
"PEAW   ","ANCHOR WORM"
"PISP   ","ROUNDWORM - STRONGYLOIDES PAPILLOSUS"
"PIWOU  ","OXYURIS SPP."
"PPF    ","IMPROVEMENT OF POSTPARTUM FERTILITY"
"PRM    ","PROTEIN BUILD-UP"
"SOW    ","INCREASE WEANING"
"UAB    ","BIRD"
"UABT   ","STARLING"
"UACL   ","FERAL PIGEON"
"UADW   ","WILD DOG"
"UAG1   ","PREVENTION OF CORROSION, BIOFILM FORMATI"
"UAMH   ","HOUSE MOUSE"
"UAPD   ","HOUSE SPARROW"
"UARC   ","RODENTS RESISTANT TO COUMATETRALYL"
"UATS   ","TREE SPARROW"
"UGSC2  ","STORED GRAIN INSECT PESTS - SEE LABEL"
"UMI    ","MITE"
"UMIBG  ","GRAPELEAF BLISTER MITE"
"UMID   ","DEPLUMING MITE"
"UMIL   ","SCALYLEG MITE"
"UMIMA  ","SARCOPTIC MANGE SCABIES MITE"
"UMIMSS ","MANGE MITE - S. SCABIEI VAR. BOVIS"
"UMISA  ","RED SPIDER MITE"
"UMISB  ","BEAN SPIDER MITE"
"UMISP  ","MITE - SUPPRESSION"
"UMISS  ","STRAWBERRY SPIDER MITE"
"UMIUG  ","GRAPELEAF RUST MITE"
"UMIUP  ","PEAR RUST MITE"
"UMIX   ","FEATHER MITE - MEGNINA CUBITALIS"
"UMLP   ","BLACK PORTUGUESE MILLIPEDE"
"UNEA   ","LEAF AND BUD NEMATODE"
"UNEBU  ","SUGAR BEET NEMATODE OR EELWORM"
"URWE   ","ROUNDWORM - EGGS"
"USLS   ","SLUG"
"USN    ","SNAIL"
"USNC1  ","CONICAL SMALL SNAIL"
"USNS   ","WHITE CONICAL SNAIL"
"UTIAS  ","TICK - AMBLYOMMA SPP."
"UTIP1  ","IXODES SPP."
"UVAM   ","VARROA MITE"
"V1     ","CHROMOBACTER SPP."
"V3     ","CITROBACTER FREUNDII SPP."
"VAF    ","FEED ALLERGY"
"VBAEB  ","BOVINE NEONATAL COLIBACILLOSIS"
"VBAES  ","ESCHERICHIA COLI SCOURS"
"VBAF   ","FUSOBACTERIUM SPP."
"VBB    ","INFECTIOUS BURSAL DISEASE"
"VBE    ","ENTEROBACTER SPP."
"VBFT   ","BACTERIAL FIN & TAIL ROT"
"VBGCCC2","CORYNEBACTERIUM ULCERANS"
"VBGS1  ","STREPTOCOCCUS DYSGALACTIAE"
"VBHS   ","BACTERIAL HEMORRHAGIC SEPTICEMIA"
"VCMD   ","MYOCARDIAL DEGENERATION"
"VDAE   ","AVIAN ENCEPHALOMYELITIS"
"VDANA  ","ANAL ADENOMATA"
"VDBV   ","BABESIA VOGELI"
"VDE    ","ENTERITIS"
"VDESI  ","SUMMER ITCH"
"VDFE   ","FELINE ENTERITIS"
"VDFMB  ","MOUTH AND BODY FUNGUS"
"VDFR   ","FELINE RHINOTRACHEITIS"
"VDHX   ","HEXAMITIASIS"
"VDJD   ","JOHNE'S DISEASE"
"VDMF   ","MILK FEVER"
"VDPS   ","PEUPERAL SEPTICEMIA & TOXEAMIA"
"VDSAE  ","SALMONELLA ENTERIDIS"
"VDSS   ","SALMONELLA SALFORD"
"VFCY   ","VITAMIN B12 DEFICIENCY"
"VFIN   ","INSULIN DEFICIENCY"
"VG13   ","ORGANISMS SENSITIVE TO APRAMYCIN"
"VG41   ","ORGANISMS SENSITIVE TO CEPHALEXIN"
"VG8    ","CHRONIC RENAL INSUFFICIENCY"
"VGAD   ","REDUCE ACIDOSIS"
"VGALM  ","METABOLIC ALKALOSIS"
"VGBD   ","BLEEDING"
"AGSBP  ","PROTECTION AGAINST SUNBURN"
"AVM13.2","Digestive enzyme supplements"
"AVM13.6","Tonics, stimulants"
"AVM3.2.","Sulphonamides"
"BAFAR  ","FAIRY RING (BASIDIOMYCETE FUNGI)"
"BBC1   ","BACTERIAL SLIME"
"BMST   ","STREPTOCOCCUS SUIS"
"DING   ","DINGO"
"FAFA   ","ADHESIONAL AGENT"
"FAG2   ","REFER TO PARAQUAT / DIQUAT OR PARAQUAT L"
"FGF    ","FERTILIZER"
"FGID   ","IMPROVE DRIFT CONTROL"
"FGLP   ","LEAF POLISH"
"FGTC   ","TANK CLEANING"
"FVA    ","MUSCLE DAMAGE - AID IN REDUCING"
"FVAE   ","EMOLLIENT ADDITIVE"
"FVAN   ","ANAESTHETIC - LOCAL"
"FVHH   ","HEALTHY HOOF - MAINTAINANCE"
"FVID8  ","IMPROVE DIGESTIBILITY OF PHYTIN-BOUND P"
"FVIE   ","INCREASE ENERGY LEVELS"
"FVNI   ","NEUROLEPTIC INJECTION FOR PIGS"
"FVPL   ","PREVENTION OF PLAQUE"
"FVS    ","TEAT SANITISER"
"FVTT   ","PREVENTION OF TARTAR"
"FVVO1  ","ANTI-EMETIC"
"HBXC   ","HAZELNUT BLIGHT"
"ICLR   ","RUST RED GRAIN BEETLE"
"IDO    ","CATTLE GRUB - HYPODERMA BOVIS"
"IDTG   ","TIP GALL MIDGE"
"IGAS   ","ARGENTINIAN SCARAB - FIRST INSTAR LARVAE"
"IHAR   ","BEETLE HARAUE"
"ILRL   ","LEAF ROLLING MOTH - ADULT & LARVAL"
"ISBM   ","SUGARCANE BUD MOTH"
"ITS    ","TOLERANT INSECT SPECIES - SEE LABEL"
"IWCE   ","COOPERIA PECTINATA"
"IWG    ","GIZZARD WORM"
"IWGP1  ","GAPEWORM - SYNGAMUS TRACHEA"
"IWR12  ","LARGE ROUNDWORM - ASCARIS SUIS"
"IWR13  ","NEMATODE - GASTROINTESTINAL"
"IWRA   ","ROUNDWORM - ASCARIS SUUM"
"IWRBS2 ","BLACK SCOUR WORM - TELADORSAGIA SPP."
"IWRC1  ","SMALL STRONGYLES"
"IWRH   ","TRICHONEMA SPP. - IMMATURE"
"IWRHW6 ","HOOKWORM - ANCYLOSTOMA TUBAEFORME"
"IWRLB2 ","LARGE BOWEL WORM - O. VENULOSUM "
"IWRSB2 ","BROWN STOMACH WORM - OSTERTAGIA LYRATA"
"IWRT   ","TRIODONTOPHORUS SPP. - IMMATURE"
"IWRV   ","STRONGYLUS VULGARIS - IMMATURE"
"IWT    ","TAPEWORM"
"IWT5   ","HYDATID TAPEWORM"
"IWTSE  ","ZIPPER TAPEWORM - SPIROMETRA ERINACEI"
"IWTTP  ","TAPEWORM - TAENIA PISIFORMIS"
"MTFWG  ","WINTER GRASS - PRE EMERGENT"
"REAS   ","ACID SOLUBLE DAIRY RESIDUES"
"SETAR  ","SETARIA SPP"
"UACF   ","FERAL CAT"
"UART1  ","AUSTRALIAN NATIVE GROUND RAT"
"UCSV   ","LUCERNE FLEA"
"UGCR   ","VOLUNTEER CEREAL"
"UMIBI  ","BIRD MITE"
"UMIBL  ","BLISTER MITE"
"UMICB  ","MITE - CHORIOPTES BOVIS"
"UMICY  ","WALKING DANDRUFF MITE (CHEYLETIELLOSIS)"
"UMIMN  ","MANGO BUD MITE"
"UMIOS  ","ORIENTAL SPIDER MITE"
"UMIQ   ","PEANUT MITE"
"UMIRL  ","REDLEGGED EARTH MITE"
"UMISF  ","FALSE SPIDER MITE"
"UMITL  ","TWO SPOTTED MITE"
"UNERT  ","STUBBY ROOT NEMATODE"
"UNET   ","CITRUS NEMATODE"
"UNWS   ","SPIDER - WEB SPINNING"
"UPRO   ","PROTOZOA"
"USLBF  ","BROWN FIELD SLUG"
"UTIAP  ","TICK - APONOMMA SPP."
"UTIDB  ","BROWN DOG TICK"
"UTIF   ","FOWL TICK"
"UTIP   ","PARALYSIS TICK"
"VAU    ","URTICARIA"
"VB     ","BACTERIAL INFECTION"
"VBACT  ","ACTINOBACILLUS EQUULI"
"VBAI1  ","NEONATAL CALF DIARRHEA"
"VBFF   ","FOUL IN THE FOOT (FOOTROT)"
"VBGCCC1","CORYNEBACTERIUM - EXCLUSIONS SEE LABEL"
"VBGEE  ","ENTEROCOCCUS"
"VBGMO  ","MALIGNANT OEDEMA"
"VBGO   ","OEDEMA"
"VBGS2  ","STREPTOCOCCUS AGALACTIAE"
"VBGS6  ","STREPTOCOCCUS EQUI VAR EQUI"
"VBGS8  ","STREPTOCOCCUS FAECALIS"
"VBGST  ","STREPTOCOCCUS SPP."
"VBGX4  ","PREVENTION OF COCCIDIOSIS"
"VBIE2  ","EIMERIA BOVIS"
"VBSE   ","ERYSIPELAS - SWINE"
"VBUU   ","URETHRITIS"
"VBUV   ","VAGINITIS"
"VCF    ","CARDIOVASCULAR FAILURE"
"VDAP   ","ANAPLASMA PLATYS"
"VDB    ","BLACKHEAD"
"VDCA   ","CANDIDA ALBICANS"
"VDCAV  ","CAV DISEASE"
"VDCZ   ","CORYZA"
"VDDB   ","BACTERIAL DERMATITIS"
"VDENB1 ","NON-SPECIFIC BACTERIAL ENTERITIS"
"VDGE   ","GASTRO ENTERITIS"
"VDHF   ","CONGESTIVE HEART FAILURE"
"VDHY   ","HYPOPROTEINAEMIA"
"VDJI   ","INFLAMMATORY JOINT DISEASE"
"VDKS   ","SEBORRHOEA (KERATINSATION DISORDER)"
"VDMY   ","MUSCULAR DYSTROPHY"
"VDSB   ","SEBORRHOEA (INFLAMMATORY FORMS)"
"VDSC   ","BLOODY SCOURS"
"VDSR   ","SHEATH ROT"
"VDU    ","ULCER"
"VFAD   ","VITAMIN A DEFICIENCY"
"VFAI   ","INHALATION ANAESTHETIC"
"VFMG   ","MAGNESIUM DEFICIENCY"
"VFMG1  ","GRASS TETANY"
"VFVB   ","VITAMIN B DEFICIENCY"
"VG10   ","ORGANISMS SENSITIVE TO TRIMETHOPRIM"
"VG12   ","ORGANISMS SENSITIVE TO SULPHADIAZINE"
"VGAST  ","ASTHMA"
"VGBKP  ","KLEBSIELLA PNEUMONIAE"
"VGC2   ","COLIC PAIN"
"VGCB   ","COLIBACILLOSIS"
"VGCF   ","CARDIAC FAILURE"
"VGCP   ","CAPILLARY BLEEDING"
"VGCS   ","CARDIAC STIMULANT"
"VGD1   ","PREVENTION OF DEHYDRATION"
"VGDAG  ","DAGS - PREVENTION AID"
"VGDH   ","DRY, HARD, SORE FEET"
"VGDP   ","INCREASED DRESSING PERCENTAGE"
"VGDX   ","ORGANISMS SENSITIVE TO DOXYCYCLINE"
"VGFE   ","IMPROVE FEED EFFICIENCY"
"VGFOR  ","FAECAL ODOUR REDUCTION"
"VGGI   ","GIRTH ITCH"
"VGGT   ","TREATMENT / PREVENT EXCESSIVE GRANULATIO"
"VGHR   ","HORMONAL AND METABOLIC REGULATOR"
"VGHW   ","CRACKS, SORES, WOUNDS (ASSIST HEALING)"
"AVM4...","Antidotes"
"AVM7.1.","Hypnotics, tranquillisers"
"AVM8.1.","Aural preparations"
"EMU    ","EMU"
"FA1    ","REDUCE CHEMICAL HYDROLYSIS"
"FAAC   ","ANTI-CRUSTING AGENT FOR SOILS"
"FAFD   ","FUNGICIDE DISINFECTANT"
"FAGR2  ","PLANT GROWTH REGULATOR - COMBINATION"
"FASH   ","SELECTIVE HERBICIDES"
"FASRH  ","SOIL RESIDUAL HERBICIDES"
"FATDA  ","TURF & DUST ABATEMENT"
"FATS   ","MINIMISE TRANSPLANT SHOCK"
"FGFI   ","REDUCE FLOATING INSECT"
"FGMP   ","IMPROVEMENT OF MILK PRODUCTION"
"FGOD   ","ODOUR"
"FGPW   ","REDUCE SURFACE TENSION OF POOL WATER"
"FGWR   ","WATER REPELLENT"
"FVAF1  ","MANAGEMENT OF FUMONISINS IN FEED"
"FVAN2  ","DISSOCIATIVE ANAESTHETIC"
"FVBCH  ","BACTERIA SENSITIVE TO CHLORTETRACYCLINE"
"FVID5  ","IMPROVE DIGESTIBILITY OF RYE"
"FVUB   ","URINARY BUFFER"
"FVVO   ","EMETIC"
"HENV   ","HENDRA VIRUS"
"HUR    ","HULL ROT SUPPRESSION ONLY"
"IGAS2  ","ARGENTINIAN SCARAB- SECOND INSTAR LARVAE"
"ILLL   ","SUGARCANE ARMYWORM - L. LOREYIMIMA"
"ILNMC  ","COMMON ARMYWORM - MYTHIMNA CONVECTA"
"ILNMC1 ","COMMON ARMYWORM - PSEUDALETIA CONVECTA"
"ILNSE  ","LESSER ARMYWORM"
"IMON   ","DOMESTIC CONTAINER MOSQUITO"
"IPL    ","PSOCIDS - ADULT & LARVAL"
"IPTIN  ","FAMILY: PTINIDAE"
"ISP    ","STORED PRODUCT INSECT PESTS"
"ISS    ","SUSCEPTIBLE INSECT SPECIES - SEE LABEL"
"IWCC   ","COOPERIA CURTICEI"
"IWCCC  ","INTESTINAL WORMS"
"IWCO   ","HAIR WORM"
"IWCSP  ","SMALL STRONGYLES - CYLICODONTOPHORUS SPP"
"IWCYL  ","SMALL STRONGYLES - CYLICOSTEPHANUS SPP."
"IWL2   ","LUNGWORM - DICTYOCAULUS ARNFIELDI"
"IWNC   ","CRIMP NEMATODE"
"IWR2   ","LARGE INTESTINAL ROUNDWORM - A. SUUM"
"IWR7   ","STRONGYLOIDES RANSOMI"
"IWRBS3 ","WHITE SCOURS"
"IWRC   ","SMALL STRONGYLES - CYATHOSTOMUM SPP."
"IWRHS  ","HABRONEMA SPP."
"IWRIH1 ","INTESTINAL HAIR WORM"
"IWRL   ","ROUNDWORM (TOXOCARA CANIS) - LARVAE"
"IWRN2  ","NODULE WORM - "
"IWT13  ","TAPEWORM - CHOANOTAENIA SPP."
"IWTE   ","HYDATID TAPEWORM"
"IWTRL  ","TRICHOSTRONGYLUS LONGISPICULARIS"
"IWTS   ","LARGE STRONGYLES - TRIODONTOPHORUS SPP."
"IWW    ","WHIPWORM - TRICHURIS VULPIS"
"PAASP  ","STIMULATE PRODUCTION"
"PAST   ","PASTEURELLA SPP."
"PIG1   ","REDUCES OUTPUT - VIABLE WORM/FLUKE EGGS"
"UABC   ","SULPHUR CRESTED COCKATOO"
"UAD    ","DOG"
"UADU   ","DUCK"
"UAF    ","FOX"
"UARB3  ","CONTROL OF RODENT RESISTANT TO WARFARIN"
"UARTL  ","BLACK RAT"
"UAW    ","WALLABY - SEE LABEL"
"UCP    ","CARPET PEST"
"UGAS1  ","ALGAL SLIME"
"UGFS1  ","FUNGAL SLIME "
"UGML1  ","MOLLUSCA SLIME"
"UGSC1  ","STORED GRAIN INSECT PESTS - EXCEPTIONS"
"UMIBM  ","BUD MITE"
"UMIC   ","CYCLAMEN MITE"
"UMICG  ","COUCHGRASS MITE"
"UMIE   ","ERINOSE MITE"
"UMIEA  ","EARTH MITE"
"UMIEG  ","MITE - EGG"
"UMIFE  ","BRYOBIA MITE - EGGS"
"UMIK   ","COUCH MITE"
"UMIMD  ","CHORIOPTIC MANGE MITE"
"UMIMS  ","SCABIES MITE"
"UMISAT ","TEA RED SPIDER MITE"
"UMITPM ","TEMPERATE POULTRY MITE"
"UMIV   ","VINE MITE"
"UNDL1  ","DADDY LONG LEGS SPIDER"
"UNEL   ","ROOT LESION NEMATODE"
"UNES1  ","STING NEMATODE"
"UNIB   ","BANANA RUSSET MITE"
"USR    ","SLATER"
"USTC   ","COTTON SPRINGTAIL"
"UTICN  ","NEW ZEALAND CATTLE TICK"
"V2     ","FLAVOBACTER SPP."
"VBCH   ","CHLAMYDIA SPP."
"VBCI   ","CATARRHAL INFLAMATION OF BRONCHI"
"VBFR1  ","FOOT ROT - F. NECROPHORUM"
"VBGB   ","BETA-HEMOLYTIC STREPTOCOCCUS (NOT A OR B"
"VBGBA  ","BACILLUS ANTHRACIS"
"VBGC   ","BORDETELLA SPP."
"VBGC2  ","CLOSTRIDIUM PERFRINGENS"
"VBGCCC ","CORYNEBACTERIUM SPP."
"VBGCCCG","CHEESY GLAND"
"VBGE   ","INFECTION - OCULAR"
"VBGM   ","MICROCOCCUS SPP."
"VBGN   ","NOCARDIA SPP."
"VBGX   ","COCCIDIOSIS"
"VBGX2  ","CAECAL COCCIDIOSIS"
"VBIG1  ","NEONATAL ENTEROTOXEMIA"
"VDAZ1  ","TYING UP - FROM LACTIC ACID BUILDUP"
"VDBR   ","BOVINE RESPIRATORY DISEASE"
"VDCSK  ","CHRONIC SUPERFICIAL KERATITIS (CSK)"
"VDCU   ","CUSHINGS DISEASE"
"VDDI   ","DIABETES"
"VDDY   ","VIBRIONIC DYSENTERY"
"VDET   ","ENTERIC DISEASES SUSCEPTIBLE TO TYLOSIN"
"VDIL   ","INFECTIOUS LARYNGOTRACHEITIS"
"VDP    ","PARASITIC DISEASES"
"VDPM   ","PSOROPTIC MANGE"
"VDPT   ","PROTHROMBIN TIME"
"VDRJ   ","RHEUMATIC JOINT DISEASE"
"VDSE   ","S EPIDERMIDIS"
"VFDD   ","VITAMIN D DEFICIENCY"
"VGAO   ","OSTEOARTHRITIS"
"VGAR1  ","ARTHRITIS - INFECTIOUS"
"VGDSK  ","DRY SKIN"
"VGEIP  ","INCREASE EGG PRODUCTION"
"VGEMS  ","RESPIRATORY - EXCESS MUCOID SECRETION"
"VGER   ","ELECTROLYTE REPLACEMENT"
"VGHO   ","CATTLE - PAIN DEHORNING"
"VGISF  ","IMPROVE STOOL FORMATION"
"VGM    ","MUCOLYTIC"
"VGOE   ","BOVINE OESTRUS CYCLE"
"VGOE1  ","EQUINE OESTRUS CYCLE"
"VGSA   ","SADDLE ACNE"
"VGSG   ","STRUVITE STONES - DISSOLUTION OF"
"VGSI   ","ORGANISMS SENSITIVE TO IBAFLOXACIN"
"VGSR   ","STRUVITE STONES - REDUCE RECURRENCE"
"VGTE   ","TENOSYNOVITIS"
"VGTP   ","REDUCING TESTOSTERONE PRODUCTION"
"VBGX412","CONTROL OF PCV ASSOCIATED DISEASE- PCVAD"
"VBIC   ","CAMPYLOBACTER SPP."
"VBUC   ","CYSTITIS"
"VBUM   ","METRITIS"
"VBUN   ","NEPHRITIS"
"VBUPA  ","POST ABORTION INFECTION"
"VDBD   ","SWINE DYSENTERY"
"VDBP   ","PYOMETRA"
"VDCRD1 ","CHRONIC RESPIRATORY DISEASE"
"VDD1   ","DERMATITIS"
"VDDJD  ","DEGENERATIVE ASEPTIC JOINT DISEASE"
"VDDM   ","DERMATOLOGICAL CONDITION"
"VDE1   ","ENTERITIS ASSOCIATED WITH E.COLI"
"VDENB  ","BACTERIAL ENTERITIS"
"VDGS   ","GIARDIA SPP."
"VDGT   ","TRICHOMONIASIS"
"VDKCS  ","CHRONIC KERATOCONJUNCTIVITIS SICCA (KCS)"
"VDLL   ","LUNG LESIONS"
"VDMCS  ","MYCOBACTERIUM PARATUBERCULOSIS SHEDDING"
"VDMP   ","MALASSEZIA PACHYDERMATIS"
"VDOT   ","OSTEOMYELITIS"
"VDPRO  ","PROSTATITIS"
